,Title,new_genres,kw_Rake_p3,clean_Plot,full_model_9_beams,full_model_3_beams
2185,Automaton Transfusion,horror,"resurrect, project, home, disease","In the early 1970s, while the majority of Americans were focused on events in Vietnam, the United States Army was secretly developing a way to resurrect and control dead bodies. Their intention was to have the dead fight instead of the living, but the experiments were shut down when the reanimated corpses were unable to control their hunger for human flesh.Thirty years later, the army decides to reopen the project. Grover City, because of its remote location, would be the home of their main testing facilities. Without warning, the Grover City experiments go horribly wrong and the reanimated corpses go on a rampage, eating everyone in sight.With the town overtaken by zombies, a group of High School seniors take it upon themselves to fight back and find a cure for the disease.","The film tells the story of a group of scientists working to resurrect a deaf patient. The scientists are working on a project to use automated transfusion. They are unable to communicate with the patient's mother, who is dying of the disease, and are forced to return to their home. The film follows the scientists as they try to find a cure for the disease.","The film follows a group of scientists working to resurrect a mute humanoid skeleton. The scientists are working on a project to use automated transfusion. The project is a success, but the scientists are unable to bring the specimen back to their home. They are forced to work together to save the specimen, and the scientists must find a way to cure the disease."
2255,Parental Guidance,comedy,"lack, son-in-law, manages, life, danger, hurt, lives, job, commentator, turner","Artie Decker, a sports commentator for the minor-league Fresno Grizzlies, is fired due to his old school talk and lack of social media. He and his eager-to-please wife, Diane, agree to babysit their three grandchildren, Harper, Turner, and Barker in Atlanta when their daughter, Alice, and son-in-law, Phil, go away for an entrepreneur exhibition. Problems arise as their parenting skills collide with Alice and Phil's helicopter parenting. After learning of the children's various problems, such as Harper's high achievement syndrome, Turner's stutter, and Barker's imaginary friend Carl, they try to make them their new best friends.Alice eventually returns home when her boss gives her an assignment to redesign the website for the X Games. Artie uses this to his advantage, as he arranges an interview for the role of sports commentator. He manages to place Barker's life in danger when he nearly gets hurt by a skateboard ridden by Tony Hawk. Eventually, the tension comes to a head as Alice disagrees with Diane's letting Harper attend a party the night before a recital and the death of Carl. Alice eventually reconciles with Artie and Diane, and she allows Harper to withdraw from the recital. Turner takes her place in it and resolves his stutter by reciting the commentary from the Shot Heard 'Round The World. Afterwards, Artie and Diane successfully become a major part of their grandchildren's lives, with Artie taking up a new job as a commentator for a Little League Baseball team along with Turner.","The film tells the story of a young man who struggles to cope with his lack of parental guidance. His son-in-law is a snobbish alcoholic. He has a troubled relationship with his wife, who is having an affair with him. He manages to keep his life in danger if he gets hurt. However, he does manage to get a job as a commentator for The Turner.","The film tells the story of a young man who struggles to cope with his lack of parental guidance. His son-in-law is a snobbish alcoholic. He has a troubled relationship with his wife, who is having an affair with her husband's wife. He manages to keep his life in danger of getting hurt. The film also focuses on the relationship between the two parents, as well as between the father and the son. The movie also features a scene in which the father is seen talking to his wife about his son's life and how he feels about his wife. It is also shown that the father was a drunk and had a problem with his job. The commentator is also a turner."
2331,Listen Up Philip,drama,"publication, accommodation","Philip (Jason Schwartzman) is an acclaimed but abrasive young writer waiting for the publication of his second novel. He feels bored of his daily life and his shaky relationship with photographer girlfriend Ashley (Elisabeth Moss). In all of this chaos, his idol, veteran novelist Ike Zimmerman (Jonathan Pryce), offers him accommodation at his summer home, an isolated place where he might find peace.","Listen Up Philip tells the story of Philip, a journalist who is sent to prison for a crime he did not commit, for publication in the New York Times. The film follows Philip's journey through prison and accommodation.","Listen Up Philip tells the story of Philip, a journalist who is sent to prison for publishing a controversial book. The film is based on the experiences of Philip's former colleagues in prison and his attempts to find a new accommodation for him."
2374,At the Villa Rose,crime,"running, guilty, wrong","Inspector Hanaud is asked to investigate a murder in which a young woman is accused of murdering her wealthy employer in a Riviera mansion and then running away. She is innocent, but the villain is able to make her seem guilty. Hanaud uncovers the truth, that the murder was the result of a jewel robbery gone wrong.","At the Villa Rose, a young man is arrested for running a smuggling ring. He is convicted and sentenced to death, but is found not guilty. When he returns home, he discovers that he has been wrongly accused.","The film is about a young man who is arrested for running a gang ring. He is convicted and sentenced to death, but is found not guilty. He goes to the Villa Rose, where he learns that he has been wrongly convicted."
2431,Honours Easy,drama,"ruined, gallery, affair","Unhinged art dealer William Barton (Ivan Samson) seeks revenge on a man who ruined his career years ago. He does so by attempting to frame the man's son for the theft of $2,500 from the safe in his gallery. However the son has an alibi in Barton's wife, with whom he is having an affair.","Honours Easy tells the story of a young woman whose life is ruined by a car accident. She meets a man who works in a gallery. She falls in love with him, but he has an affair with her.","Honours Easy tells the story of a young woman who is ruined by a car accident. She is a member of the Royal Society of Artists, and has been working in a gallery. She has an affair with a wealthy businessman."
2457,Night Ride,drama,"set, enterprise, trucks, success","Young truck driver Dick Benson (Jimmy Hanley) and friend Alf Higgins (Wally Patch) set up their own haulage company with the financial backing of Tony Spinelli (Julian Vedey), an Italian restaurant owner. However, their former boss Arthur Wilson (Frank Petley), concerned about the competition, uses underhand methods to try and sabotage the enterprise. Wilson sends his attractive daughter Ruth (Elizabeth Kent) to seduce Dick, and a group of thugs to work over their trucks. Wilson very nearly succeeds, but Dick and the truckers make a success of themselves by rescuing miners trapped in a flooded mine.","Set in the early 20th century, the film tells the story of a small-town trucking business. The story centers on a group of young people who decide to set up a trucking enterprise on their own. They decide to start a new life by selling their trucks to the local trucking companies. However, the trucking industry is not as successful as it used to be, and they are forced to reassess their business to make a success of it. title2008-10-08workNY Times","The film is set in the early 1900s. The story centers on a young man who is hired by a trucking company to run his enterprise. The man's business is shattered when he discovers that the trucking business is not as successful as it used to be, and he hires a new driver to drive the trucks. The trucking industry is a disaster, and the company is forced to reevaluate its business and its success."
2467,Lassie from Lancashire,comedy,"moves, form, destroyed, winning","Struggling young actress Jenny (Marjorie Browne) joins her dad (Mark Daly) when he moves into Aunt Hetty's (Elsie Wagstaff) boarding house. Aunt Hetty overworks them, but Jenny is lucky enough to find love in the form of aspiring songwriter Tom (Hal Thompson). But their romance is threatened and nearly destroyed by the jealous star actress of the local pantomime company. However, the young lovers move on to bigger and better things after winning a London West End theatre contract.","Lassie, a young girl from Lancashire, moves into a boarding house. There she meets and falls in love with a man who is in the form of a Yorkshire tycoon. The two form a friendship and eventually the house is destroyed. Lassie's father, who is a police officer, tries to persuade him to return to England, but Lassie refuses, believing that he has been wrongly accused of being the thief who destroyed her father's house. The film ends with Lassie returning to England and winning the televised competition.","Lassie, a young girl from Lancashire, moves into a boarding house. There she meets a man who is in the form of a local tycoon. The man is killed in a car accident and Lassie is given a new name, but is not destroyed. She is given the name Lassie and moves to London, where she is greeted with a smile and a big smile, winning her a chance to become a professional wrestler."
2505,Old Mother Riley Detective,comedy,"offices, foods, suspect, villains","The film opens with a night watchman being bludgeoned, as a safe is cracked open in the offices of the District Food Controller. A list of wartime foods to be rationed is stolen, and the police fear gangsters are planning to sell the foods on the black market. As the office charwoman, Old Mother Riley's fingerprints are all over the safe, and she becomes the police's number one suspect. To prove her innocence, Mother Riley turns detective, adopting various methods and disguises to track down the villains.","Old Mother Riley Detective (Mother Riley) is a sleazy, naive detective with a penchant for smuggling drugs into the offices of smugglers. When he discovers that he has a secret recipe for a variety of foods, he sets out to find the culprit. Then he becomes a suspect in a bank robbery. As he tries to figure out what to do with the recipe, Mother Riley becomes the prime suspect. The film ends with Mother Riley being framed for the murder of one of the villains. title2008-10-08workNY Times","Old Mother Riley Detective is a sleazy detective who is sent to the offices of a famous chemist. He is tasked with finding a variety of foods. When he discovers that he has been kidnapped, he becomes a suspect. However, when he finds out that the suspect is an old woman, Mother Riley becomes the prime suspect. The film ends with Mother Riley and her gang being chased by the villains."
2510,Bell-Bottom George,comedy,"times, pub, spick, london, wren, fallen","George Blake (Formby) is a waiter with ambitions to join the Navy, although he's been rejected several times, because of a weak heart. But during an air raid he's mistaken for a sailor because he's wearing the clothes of a navy friend who's borrowed his to go to a Lock-in at a pub. George is spotted by military police who think he is AWOL and escort him back to Naval barracks. He impresses the sailors there with his songs and ukulele playing, and is recruited to play at the Spick and Span troop radio concert in London. Somehow, along the way, he stumbles on a group of Nazi spies using a taxidermists shop as a front, and foils their plot to blow up a British submarine, The Firefly. He also impresses and wins the heart of Pat (Anne Firth), the Wren he's fallen for.","The Stooges are taxi drivers who have been called to a pub a number of times. When they arrive at the pub, they are greeted with a bell-Bottom George. a handsome young man who lives in a shabby old pub in the English countryside. When he returns to his old pub, he finds that he has been spick and spanked in London by a local gang. When the gang arrive, they discover that George has fallen in love with the pub's owner, Wren. and have fallen for him.","The Stooges are pub owners who have been robbed several times by a crook named George. The boys are then escorted to a pub by George's snobbish fiancee. George is rescued by the boys and taken to the pub, where he is greeted with a bell-bottom and a beer bottle. George then goes to spick up a bottle of beer in London. He is accompanied by his fiance, Wren, who has fallen in love with George."
2547,Eureka Stockade,drama,"gold, country, things, militant, murder, unpunished, injured, ultimately, elected, parliament","An introductory montage establishes Australia of a hundred years ago a place of both wealth and poverty, transformed by the discovery of gold in 1851. This causes a massive drain in manpower which puts a strain on the country. The Victorian governor appoints an army officer, Reid, commissioner of the goldfields and orders him to tax the miners via licences, and to keep law and order.In 1854 Ballarat, civil engineer Peter Lalor arrives to prospect for gold with his Italian friend Rafaello Carboni. They discover the license fee system is strictly enforced. The miners are upset at the conditions under which they work. Lalor and Carboni befriend a Scottish sailor, Tom, and Lalor meets a school teacher, Alicia, and the two begin a romance.Governor La Trobe resigns and Governor Hotham arrives, ordering Reid to force people off the gold fields in order to encourage them back to other jobs. Things get militant on the goldfields after the murder of miner James Scobie by James Bentley goes unpunished. The miners riot, despite Lalor's efforts and burn down Bentley's hotel. Governor Hotham sends in the military to keep the peace.The miners form the Ballarat Reform League and Lalor emerges as their leader. They rally under the Eureka Flag.Lalor and the miners arm themselves and make camp at the Eureka Stockade. The rebellion is overpowered by the British Army. Many of the miners are killed and Lalor is injured, ultimately having to have his arm amputated. However the reforms wanted by the miners are ultimately pushed through and Lalor is elected to Parliament.","The film is based on the true story of a gang of robbers who robbed a bank of gold in a small South African town. The gang's leader is a young man who lives in the town of Eureka Stockade, a town in the middle of the country. During the heist, the gang is attacked by a group of crooks who are trying to steal the country's precious metals. Eventually, he is arrested and sentenced to death. He is convicted of the murder, but goes unpunished and is injured. Ultimately he gets elected to Parliament.","The film is set in the early 20th century, in a country dominated by gold. The story follows a group of young people living in the suburbs of New York City who are trying to find a way to make their way across the country. One of the group, called the Eureka Stockade, is the leader of a gang of robbers who are attempting to rob a bank and steal a large amount of gold from a nearby bank. The gang's leader is a young man who is trying to get the country's capital out of the country, but things become more complicated when he becomes militant and commits a murder. He goes unpunished and is injured. Ultimately, he is elected to parliament."
2563,Old Mother Riley Headmistress,comedy,"buy, headmistress, taking, confronting","Daughter Kitty is sacked from her job as music teacher at an exclusive girls school, but Mother Riley unexpectedly comes into an inheritance, and decides to buy the girls finishing school and give Kitty her job back. Mother Riley soon establishes herself as headmistress at St. Mildred's School for Young Ladies, and throws herself into her new role with vigour, whether it's taking P.E. lessons, brazenly cheating on Sports Day, or confronting the haunted school piano.","Old Mother Riley Headmistress is the headmistress of a boarding house in New York City. She is in love with a young man who works as a waitress at the hotel where she works, and he offers her a job if she will buy him a new dress. When he refuses to accept the offer, he enlists the help of an old friend to help him buy a dress, taking the dress with him. However, when he discovers that the dress is not the dress he is looking for, she is confronted by the old man.","Old Mother Riley Headmistress is about to buy a new car. She's the headmistress of a sleazy department store. When she finds out she's pregnant, she decides to take a job as a car saleswoman, taking on a more senior position at the department store, where she meets a handsome young man. The two fall in love, but when the car breaks down, she is confronted with the real Mother Riley."
2579,Mister Drake's Duck,"comedy, science fiction","moves, misunderstanding, astonished, formed, navy","Mr. Drake (Douglas Fairbanks Jr.) inherits Green Acres Farm in Sussex, in the English countryside, and moves in with his new American bride Penny (Yolande Donlan). Through a misunderstanding, Penny unexpectedly finds herself the proud owner of 60 ducks. She is further astonished when one of the ducks begins laying radioactive eggs. As the news spreads, the Drakes find themselves under siege by the army. Green Acres Farm is designated a prohibited area, and all its inhabitants and visitors made prisoners. Operation Chickweed is formed a bureaucratic concern wherein the army, Navy and Air Force all lay separate claims upon the atom-age duck.","Dr. Drake's Duck is a sailor who moves into a U.S. Navy base. There, he meets and falls in love with a young woman who tells him that she is the daughter of a wealthy businessman. After a brief misunderstanding, the two are astonished to discover that a new species of duck has been formed. The new species is the United States Navy.","The film begins with Drake, a man who moves into a small town. He is greeted with a misunderstanding by a young woman. Drake is astonished when he discovers that he has a duck in his backyard. The next day, Drake and his friends are at a party where a group of friends is formed. The group is later joined by the Navy."
2647,Stock Car,sport,"helped, property, larry","When her father dies during a stock car race, Katie Glebe (Rona Anderson) takes over the running of his garage, helped by American driver Larry Duke (Paul Carpenter). Katie struggles to fend off creditors, including the unscrupulous Turk McNeil (Paul Whitsun-Jones), who seeks to repossess her property. Further dramas ensue when Turk's girlfriend Gina (Susan Shaw) shows an interest in Larry.","Larry is a stock car racer who is helped by a gang of gangsters. During the race, Larry is killed in a crash and Larry is taken to a hospital, where he is reunited with his father, who owns the property. Larry's father is also killed in the crash.","The film is about a young man who is helped by a gang of gangsters. One of the gang members, Larry, tries to steal the car, but is unable to get it back. The gang is aided by the owner of the property. Larry and his gang try to get the car back, but Larry isn't sure if he's the rightful owner."
2648,They Can't Hang Me,drama,"death, reprieve, criminals","A senior civil servant, Pitt (Morell) has been convicted of a murder and sentenced to death. Days before his execution, Pitt reveals that he has been passing on top secret information to an agent of a foreign power and offers to reveal the identity of his handler in exchange for a reprieve. With only five days before Pitt's execution, debonair Special Branch Inspector Ralph Brown (Morgan) takes on the task of identifying the spy before he flees the country.The starring role of Brown was an unusual part for Morgan, who was better known in British film for playing villains and criminals.","The film is based on the true story of a young man who is sentenced to death by a gang of criminals. He is given a reprieve by the U.S. Department of Homeland Security. When he is released from prison, he finds out that he has been kidnapped and is being held as a hostage in a prisoner-of-war camp, where he learns that the criminals are trying to extort money from him.","The film is based on the true story of a young woman, whose father's death in a car crash. She is given a reprieve by the U.S. government. The film follows her as she is kidnapped by a group of criminals."
2677,Lady of Vengeance,crime,"guardian, reason, caused, pain, karnak, boss, vengeance, matters","When 21-year-old Melissa Collins (Eileen Elton) commits suicide, her guardian, the domineering American newspaper publisher William T. Marshall (Dennis O'Keefe), searches (in flashback) for a reason. He finds it in a letter he receives from Melissa, after her death. In this, she asks Marshall to take revenge on her lover, philandering musician Larry Shaw (Vernon Greeves), who caused her such pain he made life not worth living. Marshall hires criminal mastermind, Karnak (Anton Diffring), an avid philatelist. He promises him a rare stamp in exchange for planning the torturous murder of Larry Shaw. Meanwhile, Marshall's loyal secretary, Katie Whiteside (Ann Sears), attempts to calm her boss's obsessive desires for vengeance. Matters become additionally complicated however, when Karnak targets the wrong man.","Karnak is the guardian of a young girl. When her father is killed in a car crash, he decides to kill her for no reason. He takes her to a psychiatric hospital, where he learns that her father was killed for a reason other than the murder of his father. The doctor tells her that the murder was a revenge for the pain he caused to Karen. Karen goes to the hospital to see her father, who is now a psychiatrist. Karen, who has been working as a waitress at the hospital, tells Karen that she is pregnant. Karen's boss, however, is in love with Karen and wants her to marry him, but Karen isn't sure if vengeance really matters.","The guardian of a young girl named Karen. is a crooked thief who has been convicted of murdering a man for a reason. The crooks are in love with her, but Karen is unable to understand why she is doing this. She decides to marry him, but for some reason he has caused her pain. Karnak. the son of the killer, wants Karen to be his wife. Karen's boss, the vengeful Karen, is determined to get Karen back. But when Karen is found dead, matters get even more complicated."
2683,The Secret Place,drama,"london, engaged, borrow, robber, ahead, gift, diamonds, gang","Crime heist melodrama set in the bombed out East End of London. A diamond robbery is masterminded by small-time crooks, and an adolescent boy finds himself unwittingly caught up in events, after discovering they've hidden the loot in his home.In East London, young Freddie Hatwood has a crush on kiosk attendant Molly Wilson, who is engaged to Gerry Garter. Gerry is part of a criminal gang who had a hide out at car dealership Molly's brother Mike works there.Gerry, Mike and their friend Steve are planning a diamond robbery. They need a policeman's uniform. Molly asks Freddie to borrow the uniform of his policeman father.The robber goes ahead. Gerry hides the diamonds inside Molly's record player. Not knowing this, Molly gives the player to Freddie as a thank you gift. Freddie discovers the diamonds and the gang go after him.","A gang of robbers are attempting to steal diamonds from a jewel thief in London. One of the gang is engaged to a young woman. The gang tries to steal the diamonds, but it is too late. They rob the jeweller's house. The next day, a gang member is killed in a car crash, and the police are called to the scene to find the missing diamonds. They try to borrow the stolen diamonds and go ahead with it. They find the jewels in the house, but are unable to find them. They are rescued by a policeman, who tells them that he has a gift of diamonds for his gang. title2008-10-08workNY Times","The film is set in London in the early 20th century. The gang are engaged in a robbery. They steal a diamond from a jewel thief. They then steal the diamonds from the gang's jewel smugglers. They take it to a secret place in the city, where a young woman is being raped by a mysterious man. She is rescued by the police, who arrest her and take her to the Royal Albert Hall, where she is to be buried. She also meets a man who is a former gangster who is now a police officer. He is accompanied by her daughter, who is also in love with her. She tries to borrow a large sum of money from him, but he goes ahead and steals the valuable diamonds. She then goes to her uncle's house to get the money, and he gives her a gift of diamonds, which she then sells to the local gang."
2711,Crash Drive,drama,"crash, live, despair","Paul Dixon is an international racing driver severely depressed after being paralysed from the waist down in a crash. He seems to have lost everything, including his will to live. His estranged wife Ann returns to him in the wake of the accident and attempts to cure him of his despair.","The film tells the story of a young man who is killed in a crash on a deserted highway. After the crash, he is reunited with his family and begins to live a normal life. The film is a story of hope and despair.",The film tells the story of a young man who is killed in a crash on a deserted highway. He is forced to live with his widowed father. The story is told through the eyes of the man's family and his despair.
2805,Stranger in the House,crime,"alcohol, despises, john, case, starts, investigation, makes, confess, proud, arm","John Sawyer was once a brilliant defence lawyer but has given himself up to alcohol. His wife has left him, his sister is ashamed of him, while his daughter Angela, who still lives in his large house, despises him. She follows her own life with a wild group of friends led by two rich boys, one being her cousin Desmond.Two poor boys are also part of the gang an American criminal on the run called Barney and a Cypriot immigrant called Jo, who Angela falls for. After a vicious fight with Jo, Barney is immobilised and Angela hides him in the attic of her house, where he is shot dead by an intruder. The murder weapon is planted on Jo, who is arrested and put on trial. Nobody in town wants to defend him, so Angela begs her father to do so.John does not believe the case against Jo and starts his own investigation. Through careful observation and questioning, he works out who wanted Barney dead. It was his nephew Desmond, who Barney humiliated fatally when he hired him a whore. John confronts Desmond in his parents' house and, reading Dostoyevsky to him, makes him see that his only course is to confess. As John leaves the house, a proud and thankful Angela takes his arm.","John O'Brien is a convicted murderer who has a habit of drinking too much alcohol. He despises his alcoholic mother. John's father, a former police officer, is now investigating a murder committed by a man he doesn't know. He starts an investigation into the case and starts a new one. When he finds out that the man's mother is having an affair with another man, he makes him confess to the crime. He is proud of his mother and arms him with a gun.","John O'Brien is a convicted murderer who has a habit of drinking too much alcohol. He despises him. He is convicted and sentenced to death. John's brother, John, is also convicted of murdering a woman. He starts an investigation. He makes a confession and is proud to have John on his arm."
2838,She'll Follow You Anywhere,comedy,"train, friend, put, locate, issues, destroyed, reveal, recreate, formula, chemicals","One day on the way home from work, Mike Carter finds himself propositioned by a woman on the train. He has been working on developing a new aftershave for his company along with his friend and colleague Alan Simpson. When Alan has a similar encounter with one of the women scientists at their office, they both realise it is linked to one of the numerous aftershave formulas they have developed creating a love potion which makes them irresistible to any woman.The two men begin to test their formula with some success with the women of London. They persuade themselves that before they take it to their boss, the strict Andrew Coombes, they must give it extensive testing to make sure it does not contain any unsavoury side effects. Eager to keep their discovery secret from their wives, they begin to use an old army hut in Effingham for their trials, taking woman back there who they have picked up on the train.When they begin to run out of the formula, they attempt to create some more using the original recipe. When this does not have any effect on woman, they realise that it must be due to a contaminated chemical that they put in the original potion. They try to locate it, but all issues of it have been destroyed. They begin doing tests to try to find the missing ingredient that will make their potion work.Their wives are becoming increasingly suspicious about their strange behaviour, and their boss is demanding that they produce a new aftershave to a deadline. When they accidentally allow their boss to get hold of the secret, he too discovers its potency with his secretary. When the two men's wives arrive in London on a surprise shopping trip, the two men fear the game is up. They confess to their boss about the real nature of the potion, and the trials they have been conducting at Effingham. When the three men go to Effingham they discover the army are now demolishing the old huts, and the remaining potion is destroyed by accident. Coombes now threatens them with the sack, threatening to reveal to their wives what they have been doing, unless they can recreate the formula by endless testing of various chemicals to find the magic ingredient.","She'll Follow You Anywhere tells the story of a young girl who takes a train to New York City. She is accompanied by a friend. who is a chemist. The girl's father, a scientist, is trying to create a formula for the formula, but he can't find a way to put it in. He tries to locate the problem, but the formula is destroyed. When he gets there, he discovers that the formula contains the chemicals needed to create the formula.","The Stooges are a group of college students traveling by train. They meet a friend. a sailor. and a girl. The boys decide to go on a date with a man they have never met before. They decide to take a train to New York City, where they are met by a young woman named Janet. Janet is in love with him, but Janet has other issues as well. The train is destroyed, and Janet's father is killed. She is sent to a hospital, where she is put in a mental hospital. She tries to locate the man who destroyed the train, but it is too late. The man who killed Janet, however, is unable to find Janet and he is forced to take Janet with him. He tries unsuccessfully to get Janet back to the hospital, but she is killed by the man she loves. Then Janet finds Janet on the train. She decides to go back to her home town, but the man is too old to reveal the formula, and the chemicals used to recreate the formula are all wrong."
2871,Killer's Moon,horror,"night, revealed, smith, trubshaw, choose, police","A coach full of schoolgirls breaks down in the Lake District, forcing the girls to take shelter for the night in a remote hotel. Meanwhile, strange and macabre things are happening to the locals (and their pets) and it is revealed that four escaped mental patients- Mr. Smith, Mr. Trubshaw, Mr. Muldoon and Mr. Jones - who have been dosed with LSD as part of their treatment, are roaming the area, convinced they are living a shared dream in which they are free to rape and murder - both of which they choose to do numerous times before the belated arrival of the police.","The plot revolves around a group of friends who spend the night in a haunted house. It is revealed that one of the group is a murderous serial killer. The film opens with the murders of Smith and Trubshaw. The group then goes on a quest to find the killer's moon, where they must choose between the two killers or the police. title2008-10-08workNY Times","The plot revolves around a group of friends who spend the night at a haunted house. It is revealed that one of them is a murderous serial killer. The film opens with the murders of Smith and Trubshaw. The group then travels to the house to search for the killer and find the killer. They find that the killer's moon is inhabited by a horde of demons, and they must choose between the two killers or the police. title2008-10-08workNY Times"
2892,Paperhouse,drama,"house, drawn, appears, furious, epilogue, dream","While suffering from glandular fever, 11-year-old Anna Madden draws a house. When she falls asleep, she has disturbing dreams in which she finds herself inside the house she has drawn. After she draws a face at the window, in her next dream she finds a disabled boy named Marc living in the house. She learns from her doctor that Marc is a real person.Anna sketches her father into the drawing so that he can help carry Marc away, but she inadvertently gives him an angry expression which she then crosses out, and the father (who has been away a lot and has a drinking problem, putting a strain on his marriage) appears in the dream as a furious, blinded ogre. Anna and Marc defeat the monster and shortly afterward Anna recovers, although the doctor reveals that Marc's condition is deteriorating.Anna's father returns home and both parents seem determined to get over their marital difficulties. The family goes on holiday by the sea, where Anna finds an epilogue to her dream.","The film tells the story of a young woman living in a paper house. She is drawn into a romantic relationship with a handsome young man. When he meets her at a party, she is immediately attracted to him. He then appears to be furious with her. The film then cuts to the epilogue of the dream.","The film is set in a small town in New York City, where a young woman is living at a house. She is drawn to a shabby old mansion. The mansion is haunted by ghosts and ghosts. The ghosts of the mansion are portrayed in flashbacks, and the man is portrayed as a man with a penchant for slapstick comedy. The woman's husband, a newspaper reporter, appears to be furious. The film ends with the man's death in the shambles of a murder scene. The story is told in the epilogue of the dream."
2909,Victory,drama,"indonesia, playing, escapes, island, back, eventually, lovers, call, alma, victory, death, life","Through a business misadventure, the European Axel Heyst (Willem Dafoe) ends up living on an island in what is now Indonesia with a Chinese assistant Wang (Ho Li). Heyst visits a nearby island where a female band is playing at a hotel owned by Mr. Schomberg. Schomberg attempts to force himself sexually on one of the band members, Alma (Irne Jacob). Alma is about to be sold to Schomberg by the corrupt leaderdirector of the band who has enslaved the women for prostitution. She begs Heyst to help her. Having sworn off close relationships because of his past, he is challenged by her request, but agrees to help her. He escapes from the island with Alma, and they go back to his island and eventually become lovers. Schomberg seeks revenge by attempting to frame Heyst for the murder of a man who had died of natural causes and later by sending three desperadoes Pedro, Martin Ricardo (Rufus Sewell), and Mr. Jones (Sam Neill) to Heyst's island with a lie about treasure hidden on the island. Upon their arrival at the island, much intrigue ensues. In a climactic scene, Jones kills Pedro and then Ricardo Alma is also shot and dies in the arms of Axel. After burning his compound and burying Alma, Axel disappears from the island but is rumored to have later been seen as a drifter in San Francisco and other ports of call. Alma's victory, in death, is having saved Axel's life in that he has again made connections with others.","Victory tells the story of a young boy, Alma, who lives with his mother in a small village in Indonesia. He is playing a game of chess. When he is beaten by a gang of gangsters, he escapes from the island and goes back to his hometown. Eventually, the two become lovers. They call each other 'Alma' and she wins. The film ends with a victory and a death in life.","Victory tells the story of a young boy, Alma, who lives with his mother in a small village in Indonesia. He is playing a game of chess. He has a crush on his mother, who is a crooner, and he wants to marry her, but he refuses because he has no money. He escapes from the island and goes back to his mother. Eventually, they become lovers. They call each other 'Mamma'. The film ends with the victory and the death of his mother's life. title2008-10-08workNY Times"
2928,Arsène Lupin,"crime, drama","immortal, rich, cagliostro, complete","The film follows gentleman thief Arsne Lupin from a small boy, through the death of his father, and his later years when he meets the strange woman, Josphine, who appears to be immortal and uses a hypnotic drug to enslave people to her will. Arsne's ethos is to steal from the rich and deserving crooks. In this film he comes up against two parties, a secret society and Josphine, who are intent on gathering three crucifixes which will reveal the secret of a lost treasure.The film refers to many of the Maurice Leblanc's Arsne Lupin stories, including The Arrest of Arsne Lupin, The Queen's Necklace, Sherlock Holmes Arrives Too Late, 813, and The Countess Of Cagliostro. Some of these references are more direct and complete than others.","Arsène Lupin is the story of a young woman, whose dream is to become an immortal. When she meets a rich and powerful man, he falls in love with Cagliostro. a crooked thief, and they begin a romance, complete with a romantic climax. title2008-10-08workNY Times","Arsène Lupin is the story of a young woman, whose dream is to become an immortal. She is enchanted by the rich and beautiful Arsene Lupin. She falls in love with Cagliostro. a crooked thief, and the two begin a romance that will complete her life."
2970,Latitude 55°,drama,"alberta, blizzard, alive, terror","Wanda Woodsworth (Andre Pelletier), a field worker for the Department of Culture, is on her way home to the city after a winter assignment in the northern part of Alberta. Her car breaks down on the deserted highway and as the weather worsens she finds herself stranded in the middle of a blizzard. Her initial calm gives way to anxiety and eventually to panic as she desperately tries to stay awake and alive. At the height of the blizzard, Wanda is rescued by a local potato farmer, Joseph Przysiezny (August Schellenberg), who carries her to a dilapidated shack nearby. For two days and two nights, while waiting for the blizzard to pass, two people stalk each other restlessly, inexorably, with humour and passion, in a painfully revealing series of confrontations that runs the gamut from mistrust and terror to physical intimacy and almost religious ecstasy.","The film tells the story of a young woman, Alberta. who is trapped in a blizzard. When she discovers that her father is dead, she decides to help him find his father, who is still alive. As the story progresses, it becomes clear that she is not alone in her quest to find the real reason for her father's death, and that she must find a way to escape her mother's terror. title2008-10-08workNY Times","The film follows the life of Alberta. a young woman living in a blizzard. When she discovers that her father is still alive, she decides to help him. The film ends with Alberta's death and her mother's terror."
